group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28469767.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28444547.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28429106.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28512247.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28352295.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28361075.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28384126.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28312945.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28353836.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28375676.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28340795.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28385476.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28362396.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28335565.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28941031.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28459837.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28342366.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28840011.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28541817.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28427896.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28448576.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28373776.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28395546.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28472437.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28544708.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28400156.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28390296.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28346136.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28456816.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28388406.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28337465.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28391266.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28769030.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28455076.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28533318.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,29624018.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28775570.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,29293254.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28951202.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28876880.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,29115043.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28988522.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28870670.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28621628.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28895641.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28860950.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28449867.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28327795.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28373056.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28431896.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28289615.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28479597.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28264624.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28364835.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28457007.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28347756.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28363515.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28333295.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28378875.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28404377.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28373476.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_026,1073741824,1073741824,bytes,28461147.0,ns,1
