group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26845660.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26700429.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26615408.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26617618.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26654719.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,30102573.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26832940.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26643008.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26657478.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26679929.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26675778.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26658699.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26636678.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26908431.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26873281.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26624838.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26730149.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26623708.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26667079.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26674179.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26676599.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26643419.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26635379.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26637348.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26664218.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26623999.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26649228.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26615428.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26626188.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26599958.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26653859.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26649628.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26650988.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26632668.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26651268.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26626478.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26605018.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26620088.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26618119.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,28935912.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26811420.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26661709.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26652479.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26611988.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26595978.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_048,1073741824,1073741824,bytes,26656088.0,ns,1
