group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31610351.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31494251.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31529771.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31456240.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31506061.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31501521.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31505630.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31454340.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31516421.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31529641.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31407289.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31921374.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31710962.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31641141.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31511721.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31580091.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31548571.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31506430.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31426100.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31541381.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31535570.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31531751.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31517590.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31530861.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31478830.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31473860.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31514831.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31513220.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31472070.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31597340.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31546870.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31577101.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31501821.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31472580.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31426689.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31448630.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31561311.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31606261.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31436999.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31544371.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31477910.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,32160506.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31593511.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,33249675.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31512691.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31469830.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31577591.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31581052.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31611033.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31624053.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31646703.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31588592.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31491042.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31655403.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31495692.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31513392.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31450441.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31519152.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31727414.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31542692.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31479292.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31492331.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31474002.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31924495.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,32020197.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31578522.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31476891.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31471872.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_blake3_par_025,1073741824,1073741824,bytes,31494472.0,ns,1
