group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27910585.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27925705.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27878924.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27850034.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27915425.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27871954.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27876435.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27914614.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,30941030.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27834053.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27798363.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27809734.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27858354.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27875995.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27868004.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27901964.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27862454.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27870904.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,30968420.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27827684.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27772373.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,28052415.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27939195.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27851714.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27868364.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27888634.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27904655.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27903094.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27902534.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27846444.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27884634.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27873784.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27870304.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27891635.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27887924.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27922464.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27907674.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27938995.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27867404.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27867574.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,31030291.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,30806658.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27839554.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27817064.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27965755.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27885424.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27834094.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,30954450.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27829514.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27848104.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27807164.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27858394.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27966234.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,35880971.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27794983.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27804034.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27857344.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_040,1073741824,1073741824,bytes,27846553.0,ns,1
