group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26493637.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26436426.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26502377.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26411256.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26517887.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26439606.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26467997.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26414846.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26452376.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26479437.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26479816.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26498536.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26504797.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26428717.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26477246.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26532557.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26466637.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26483207.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26465587.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26464817.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26449417.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26453416.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26425946.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26460067.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26517157.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26423906.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26491797.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26454476.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26516047.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26488997.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26415606.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26500907.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26510016.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26513957.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26456377.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26491617.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26489787.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26447777.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26512307.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26497867.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26486476.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26465337.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26477856.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26470727.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26458946.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26496227.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26431206.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26517097.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26481127.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26500447.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26452286.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26480907.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26551637.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26403406.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26451816.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26396216.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26481987.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26479806.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26469027.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26435446.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26475667.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26454636.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26487567.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26409566.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26469887.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26482086.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,27365555.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26651478.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26522407.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26490727.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26391296.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26441536.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26368756.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26430976.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26467757.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26457227.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26462646.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_058,1073741824,1073741824,bytes,26491387.0,ns,1
