group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26217376.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26146475.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26156385.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26139975.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26138425.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26188895.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26153795.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26136184.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26180706.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26119115.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26153945.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26171325.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26129805.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26095754.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26185185.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26153835.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26151175.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26191016.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26179536.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26159755.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26061375.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26142004.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26266625.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26183475.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26151605.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26445777.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26222375.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26119425.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26137265.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26157295.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26210966.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26160415.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26144595.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26145595.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26169055.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26134945.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26149315.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26220556.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26227086.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26123764.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26135815.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26094635.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26132815.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26114435.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26189035.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26120295.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26099185.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26116514.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26241396.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26239106.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26116765.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26133425.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26184255.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26152285.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26161735.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26110354.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26173215.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26174165.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26176245.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26155905.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26124225.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26125085.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26157115.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26138595.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26176496.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26105934.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26094315.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26123855.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26162025.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26180205.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26141755.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26073085.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26172015.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26126585.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26081944.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26255175.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26123715.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26116075.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26064535.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26121095.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26160726.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26240516.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26131905.0,ns,1
aead/decrypt,aead_par_split_xor_deadbeef_par_032_block_000000016384,1073741824,1073741824,bytes,26104005.0,ns,1
