group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,27117100.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26915129.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26920079.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26979259.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26920599.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,28832975.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,27032320.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,27078800.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,27115361.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26879068.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,28098580.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,27050731.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26916278.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,30878164.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,27198261.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26925749.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26926519.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26944799.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26959859.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,27382863.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,27080700.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26930659.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26900469.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26948819.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26979109.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26930859.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26918618.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,28366611.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,27045100.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26903409.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26891728.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26914659.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_037,1073741824,1073741824,bytes,26915139.0,ns,1
