group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26995969.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26832578.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26877317.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26851777.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26836898.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26849477.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26816157.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26894418.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26846498.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26849218.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26845648.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26870908.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26814877.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26844778.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26837608.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26915858.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26839388.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26842187.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,30544393.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,27091071.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26864808.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26787937.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26814088.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26853347.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26827288.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26896258.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26835787.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26796487.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26943119.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26985379.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26844777.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26890907.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26838738.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26827157.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26832818.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26782727.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26906698.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26859348.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26862918.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26882828.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26817947.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26831478.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26808977.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26828607.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26896798.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26809998.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26853908.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26817138.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,28249101.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26998939.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26834997.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26876838.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26820998.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_039,1073741824,1073741824,bytes,26820277.0,ns,1
