group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37290919.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36761974.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36368512.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37707181.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37395530.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36511442.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36867985.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36897485.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36654714.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36942175.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37289419.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36770294.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37511361.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37037157.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36731584.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37105157.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36487783.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36007088.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37342429.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36678414.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37149267.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37225968.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36123840.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36765944.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37444740.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36603683.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36574423.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37041517.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36418172.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37116708.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36744994.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36876265.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36366882.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36923895.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37189087.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36433812.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36920066.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37503730.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36777044.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36758335.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37191978.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36409212.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36576313.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36729664.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36137660.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37461250.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,35970328.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37521720.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37081437.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36726234.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37065497.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36515663.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36825204.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36835585.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36918335.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36599383.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37596901.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36792205.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36253641.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37493099.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37410060.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,38043624.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36743634.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37159707.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37943454.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36183260.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37140187.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36674614.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36447591.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36661553.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36792765.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36199700.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36604183.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37864653.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36430202.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36265091.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36821545.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37126818.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36538342.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37464770.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36365611.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36954086.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37348909.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36995526.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37092827.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36261240.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36167930.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37245118.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37128898.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36438971.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37834202.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37258809.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36261350.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,36384642.0,ns,1
aead/encrypt,aead_par_split_cryptopp_gcm_par_032_block_000008388608,1073741824,1073741824,bytes,37084116.0,ns,1
