group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,28572847.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27341016.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27137074.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,28353294.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27324756.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27220204.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27192674.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27256885.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27194105.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27208894.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27200955.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27271435.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27331346.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27248365.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27390076.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27339356.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27188364.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27201555.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27186544.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27231595.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27180524.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27187785.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27341876.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27361846.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27196934.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27183615.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27252185.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27213334.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27246544.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27183925.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27226995.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27229654.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27195904.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27197705.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27201964.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27191735.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27212824.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27195515.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27249125.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27243865.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27255055.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27154254.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27236535.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27254795.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27201785.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27202104.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27190955.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27184144.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,28704758.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27258435.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27196984.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,28814989.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27298245.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27164224.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27174885.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27153624.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27176364.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27146685.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27196254.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27174595.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27202394.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27211625.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27211425.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27217204.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27181895.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27147345.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27197624.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27187755.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27158674.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27144704.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27256545.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27212045.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27190324.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,28441186.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27620659.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27313355.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27227805.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27225905.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27177674.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27140454.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27225065.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27223895.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27177054.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27998632.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,29193322.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27245984.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27179944.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27127324.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27206164.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27179075.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27259835.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27207445.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,28463725.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27309335.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27166754.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27237965.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27219745.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27219984.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27206875.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_042,1073741824,1073741824,bytes,27161974.0,ns,1
