group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,32143505.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33275574.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33220714.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33176652.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,32748560.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33057492.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,32623488.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33309164.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33179403.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33050732.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,32499467.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,32778390.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,32921021.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33329754.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,32369236.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33312854.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,32843770.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33489825.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33560975.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33272084.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,32954461.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33090072.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33042472.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,32814900.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_032_block_000001048576,1073741824,1073741824,bytes,33140113.0,ns,1
