group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26750570.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26308897.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26233996.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26185086.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26778190.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26765751.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26809820.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26261587.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26331247.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26757960.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26356227.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26230427.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26345867.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26234127.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26775650.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26237427.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26335047.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26586058.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26371107.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26319047.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26288856.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26230187.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26373878.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26237226.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26244397.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26251967.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26169786.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26312617.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26233237.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26241507.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26270876.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26181316.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26164956.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26205616.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26278606.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26103176.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26173716.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26318387.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26193766.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26224056.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26353937.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26142046.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26342637.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26177096.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26273866.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26164186.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26139315.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26230737.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26414197.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26371717.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26279447.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26380567.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26440628.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26127356.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26300926.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26295897.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26391578.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26358417.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26151245.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26227947.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26187406.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26339787.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_032_block_000008388608,1073741824,1073741824,bytes,26138186.0,ns,1
