group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26411825.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26229152.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26249504.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26243633.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26244233.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26248953.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26487565.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26350504.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26184643.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26245363.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26287003.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26183502.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26250284.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26211193.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26228493.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26224603.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26212772.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26175293.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26269113.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26224403.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26186032.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26258563.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26329034.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26244583.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26203282.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26167912.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26216402.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26260283.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26215123.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26219443.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26228873.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26229333.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26232803.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26248083.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26241423.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26201423.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26179352.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26220793.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26255983.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26166352.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26276123.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26248373.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26264683.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26151722.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26212193.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26234643.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26208912.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26242753.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26205102.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26294133.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26217502.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26202793.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26266553.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26190942.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26274363.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26362174.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26382694.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26225663.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26255102.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26227953.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26230783.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26175842.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26201933.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26215383.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26237682.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26199342.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26226073.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26216323.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26239933.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26280774.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26261803.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26246513.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26276243.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26366784.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26428845.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26353453.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26232683.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26185163.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26200472.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_040,1073741824,1073741824,bytes,26256653.0,ns,1
