group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26342593.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26234793.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26253363.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26195922.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26258923.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26224213.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26235053.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26278833.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26241533.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26191362.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26270713.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26231583.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26222083.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26253172.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26205092.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26257613.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26259573.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26245792.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26243803.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26265783.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26270213.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26245263.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26244912.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26213343.0,ns,1
aead/encrypt,aead_par_split_xor_deadbeef_par_044,1073741824,1073741824,bytes,26293703.0,ns,1
