group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1356563243.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1360739984.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359953508.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358185665.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358324666.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359457174.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1360098429.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359798797.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359743006.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358835612.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358690466.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358141622.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359693943.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359839494.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1357918020.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1357784270.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358351783.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358792216.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359273221.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1360015385.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358817587.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359563103.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359759103.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359260411.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359011908.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1357957011.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358002851.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359036849.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1357533587.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358545656.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1360299887.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358841587.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1356992324.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358291673.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358806957.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358287134.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1360139166.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359684853.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359034559.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1360190397.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358114372.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358377894.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358437334.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358552525.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1357664479.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359065249.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359269430.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1357943591.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359697384.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1359206010.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1358570296.0,ns,1
encryption/decrypt,aes_256_ofb,1073741824,1073741824,bytes,1357371496.0,ns,1
