group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,117239791.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,115539512.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,115903241.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,116379732.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,115387460.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,116145526.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,117155419.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,116598447.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,117119049.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,116438102.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,116782151.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,116060595.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,115981874.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,116754920.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,116437494.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,116415992.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,116013634.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,118649583.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,119976483.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,118818836.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,120224828.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,117878877.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,118993390.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000000262144,1073741824,1073741824,bytes,119439281.0,ns,1
