group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111422879.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111386219.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111505321.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111281796.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111207704.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111527582.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111490281.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111559563.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111251075.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111441100.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111444730.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111310557.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111314857.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111183274.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111215415.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111086322.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111448029.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111572703.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111356179.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_012_block_000536870912,1073741824,1073741824,bytes,111422599.0,ns,1
