group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,121458877.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,120447058.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,120286694.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,120041309.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,121070820.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,121768645.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,119509709.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,119131530.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,119630942.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,120165032.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,120434878.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,121773695.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,119834766.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,120970919.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,119328346.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,120530650.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,122388379.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,124926471.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,123114504.0,ns,1
aead/decrypt,aead_par_split_aes_256_gcm_par_016,1073741824,1073741824,bytes,122965740.0,ns,1
