group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194752673.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194641950.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194526708.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194677462.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194664221.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194592319.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194554829.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194712152.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194570839.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194643981.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194738843.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194757873.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194519468.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194599001.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,201043740.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,197013066.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194730223.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194846966.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194620341.0,ns,1
aead/decrypt,aead_par_split_cryptopp_gcm_par_004,1073741824,1073741824,bytes,194892677.0,ns,1
