group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147451049.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147253174.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147190513.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,148977285.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147309145.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147319836.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,145338490.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146957167.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147090231.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146118168.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,148985176.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146280222.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,145226716.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147239895.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146820034.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,145970475.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,145938904.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146676721.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147258005.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,154564489.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,149026587.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,149768035.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,148876874.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147413370.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147663405.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146046286.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147987382.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147334808.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146945028.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,145741649.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147034160.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146477278.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,148905905.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,145693678.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147609064.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146818526.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147044881.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,145647468.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147074271.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146170890.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146438897.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,148150587.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146829576.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146074658.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,145827222.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,148023685.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,145913564.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,146647492.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,148414844.0,ns,1
aead/decrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000033554432,1073741824,1073741824,bytes,147707527.0,ns,1
