group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,111019168.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113133564.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,111965803.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113061682.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,119287626.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113354719.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,112872257.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,119101922.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,112208139.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,112113897.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113804711.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113372020.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,112062005.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,112310512.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,112856317.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113330138.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113904144.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,112898728.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113021050.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113215206.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113076603.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113658847.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,113004610.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,112969369.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,114384727.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,115112466.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_011,1073741824,1073741824,bytes,115321751.0,ns,1
