group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,129375068.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128696871.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127912460.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128272400.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127571370.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127840409.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128719691.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127961261.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127909010.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128013022.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128434693.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127767597.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127263582.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127568342.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127001585.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127226182.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128022393.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128033873.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127924310.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128598579.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128036693.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128155936.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,130040786.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127674453.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,126825511.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128793514.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,129629845.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,129688496.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,129700727.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,130412365.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,129812820.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128424053.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,130343553.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,129222784.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128479366.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128473424.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128239148.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128754302.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128486915.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128773643.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,129217483.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,129287766.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128623919.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,129023749.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127882619.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127563580.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127654624.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128019882.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128881545.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128480635.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128733631.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128790334.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128150095.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128342461.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128443104.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128275349.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128319700.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128776443.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128606898.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128462954.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127923130.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128525816.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128837844.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127759195.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128573427.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127940791.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128034702.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127324075.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,126727959.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128255118.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,126685318.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128246438.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128452454.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128194337.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128008882.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128336811.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128469814.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128492915.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128168066.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128383272.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128257318.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128007163.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128228127.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128199167.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127334085.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127842498.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128293569.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,127653833.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128031123.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128306910.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128106094.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128128616.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128692810.0,ns,1
aead/encrypt,aead_par_split_aes_256_gcm_par_023,1073741824,1073741824,bytes,128734641.0,ns,1
