group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,111649122.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,108827084.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,108786752.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109004217.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110109174.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110063304.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110748109.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110752850.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,111816146.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,112525292.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,111217702.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109772876.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110723060.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110156656.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109127260.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,111267213.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,108741141.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109939130.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,112924994.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,113198430.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,112776749.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,111911818.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110401652.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,111988440.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110037273.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,117373241.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110750381.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110520414.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110002372.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110573706.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109922529.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,108893406.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109472219.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110468453.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110820572.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109643074.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110866293.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109663074.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,108950316.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109365137.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110061774.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110365281.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110279569.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110041393.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110294689.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109254204.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109818568.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,111199391.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109531911.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,108875684.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,108539427.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109094070.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109343256.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110631448.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109073119.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109719426.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,110117065.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_blake3_par_019,1073741824,1073741824,bytes,109123141.0,ns,1
