group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154942398.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153628770.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154881786.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154086614.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153841336.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154338610.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154668850.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154493834.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154698281.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153804085.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153905117.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,155060930.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154956898.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,160579931.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,159067187.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,160680393.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,159319535.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,161531858.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,155856543.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,156092621.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154833702.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,155073040.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154182554.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154539224.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153934027.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154499523.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154296407.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153934636.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,155715278.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154404470.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154544714.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154744780.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,152414661.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153248186.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153674359.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,173370490.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154243155.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154551263.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154812461.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154179022.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154481981.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,172601158.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154129361.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153970816.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,155062887.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153860992.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154866642.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153903404.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154038767.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154320846.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153057418.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154320705.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154313654.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154841191.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,173406100.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154300014.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154331296.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154362235.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153616474.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154364826.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154473209.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154194261.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,156744224.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,155286752.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,158066793.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,172623225.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154546350.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154692395.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,155565600.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154007595.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,155125286.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153320495.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153686114.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153201211.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154632532.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154115848.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154290141.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153911062.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,156577728.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,155472695.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154521708.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,155301661.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154368184.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153807637.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154124827.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153099336.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153607921.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,154878928.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153928571.0,ns,1
aead/encrypt,aead_par_split_rustcrypto_aes_256_gcm_par_012_block_000004194304,1073741824,1073741824,bytes,153220829.0,ns,1
