group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647206976.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647606638.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647776479.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647999092.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647808397.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647897899.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647746906.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647753183.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647774835.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647732042.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647812299.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647825913.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647740988.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647864717.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647782309.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647743055.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647762672.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647764265.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647783912.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,648006433.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647890972.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647883469.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647848378.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647826007.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647761853.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647853655.0,ns,1
aead/encrypt,aes-256-ctr_sha-256,1073741824,1073741824,bytes,647811225.0,ns,1
