group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316129685.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1314968776.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316936906.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315652642.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315263493.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316743349.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316714178.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316975874.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315782323.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315980848.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317100916.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316588622.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315783542.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315615486.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317351770.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317822122.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315407280.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315102332.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317605245.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316643949.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317912823.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315330065.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316502645.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317612763.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317831587.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316426162.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316409431.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1319403046.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316101993.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317052005.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316438930.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316621654.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316389657.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316504340.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317322711.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316420946.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317537265.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315468793.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316475196.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316537238.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316399114.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317534333.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1314918315.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316913266.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317204973.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316376202.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316681388.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315044227.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315701904.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316279547.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315305542.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316783199.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316987135.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316228423.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315098746.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1320178683.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317158397.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315412622.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317400572.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315817491.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317559915.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317980885.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316371435.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316912837.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315882311.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316507346.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317749007.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315887590.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317181192.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316617818.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316624427.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316320059.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315953320.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316456512.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315710692.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315895577.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316694087.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317517576.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316948093.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315702821.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315315849.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1317074614.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315383752.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1318135980.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315743889.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315961285.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316739574.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1315956263.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316910347.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1314917527.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316017544.0,ns,1
encryption/encrypt,aes_192_cfb128,1073741824,1073741824,bytes,1316593398.0,ns,1
