group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hash,sha3_384,1073741824,1073741824,bytes,2364051899.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363826099.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2364123033.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2366261028.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363480449.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2364463601.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2366921851.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2364018149.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363763814.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363513104.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363545670.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2365525889.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2367833278.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2364076952.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363937085.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363633607.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363481525.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363629066.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2364137399.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363587653.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363703182.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363795312.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363406847.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363902390.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2369678678.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2364260313.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363692368.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2364544190.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2369136169.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363688494.0,ns,1
hash,sha3_384,1073741824,1073741824,bytes,2363892064.0,ns,1
